Header
;johnnycash;willienelson;dollyparton;hankwilliams;faithhill;dixiechicks;garthbrooks;kennyrogers;timmcgraw;hanksnow;brooksanddunn;leehazlewood;kennychesney;jimreeves;rogermiller;kriskristofferson;bobdylan;jonimitchell;leonardcohen;joanbaez;townesvanzandt;peteseeger;suzannevega;tracychapman;timbuckley;steeleyespan;woodyguthrie;donovan;catstevens;johndenver;donmclean;crosbystillsnash;milesdavis;davebrubeck;billieholiday;dukeellington;djangoreinhardt;glennmiller;ellafitzgerald;louisarmstrong;natkingcole;herbiehancock;ninasimone;johncoltrane;charlieparker;countbasie;theloniousmonk;cannonballadderley;johnleehooker;muddywaters;tajmahal;johnmayall;bigbillbroonzy;bbking;howlinwolf;williedixon;blindlemonjefferson;blindwilliemctell;mississippijohnhurt;tbonewalker;ettajames;lightninhopkins;otisrush;albertking;jamesbrown;marvingaye;otisredding;solomonburke;samcooke;arethafranklin;algreen;thetemptations;thedrifters;fatsdomino;thesupremes;isaachayes;aliciakeys;erykahbadu;indiaarie;jillscott;ironmaiden;megadeth;slayer;sepultura;blacksabbath;anthrax;alicecooper;deeppurple;defleppard;acdc;judaspriest;kiss;metallica;pantera;queensryche;skidrow;nirvana;beck;smashingpumpkins;radiohead;belleandsebastian;aliceinchains;echoandthebunnymen;sonicyouth;weezer;pearljam;foofighters;hole;bush;thesmiths;depechemode;janesaddiction;pattismith;sexpistols;sidvicious;ramones;badreligion;theclash;nofx;deadkennedys;buzzcocks;greenday;blink182;sum41;themisfits;rancid;screechingweasel;pennywise;eminem;drdre;publicenemy;missyelliot;cypresshill;50cent;rundmc;grandmasterflash;2pac;snoopdogg;jayz;bustarhymes;llcoolj;dmx;icecube;mystikal;aphextwin;daftpunk;kraftwerk;chemicalbrothers;fatboyslim;basementjaxx;carlcox;moloko;pauloakenfold;prodigy;armandvanhelden;moby;massiveattack;mouseonmars;jimitenor;underworld;bobmarley;jimmycliff;petertosh;ziggymarley;seanpaul;alphablondy;shaggy;maxipriest;shabbaranks;ub40;innercircle;desmonddekker;capleton;bountykiller;eddygrant;blackuhuru;therollingstones;theanimals;thefaces;thekinks;thewho;elvispresley;chuckberry;littlerichard;jerryleelewis;buddyholly;bodiddley;billhaley;chubbychecker;theyardbirds;carlperkins;genevincent;madonna;britneyspears;nsync;justintimberlake;abba;michaeljackson;janetjackson;prince;spicegirls;christinaaguilera;robbiewilliams;nellyfurtado;avrillavigne;jenniferlopez;otown;shakira;wolfgangamadeusmozart;ludwigvanbeethoven;johannsebastianbach;josephhaydn;johannesbrahms;fredericchopin;antonindvorak;gustavmahler;franzschubert;antoniovivaldi;richardwagner;herbertvonkarajan;yehudimenuhin;georgfriedrichhaendel;tchaikovsky;giuseppeverdi;
johnnycash;1;0,939245;0,835382;0,874278;0,697586;0,77472;0,828077;0,774452;0,786838;0,781321;0,565577;0,87655;0,809789;0,689688;0,887113;0,931825;0,575801;0,469457;0,532394;0,509202;0,799547;0,50459;0,331687;0,366767;0,515941;0,315955;0,686316;0,498556;0,549348;0,942023;0,514618;0,240132;0,008477;0,002936;0,025501;0,014158;0,00467;0,004519;0,015085;0,020593;0,019728;0,002133;0,035198;0,002776;0,007468;0,006563;0,002361;0,006245;0,068639;0,059394;0,173015;0,102655;0,105245;0,054902;0,057951;0,089632;0,099516;0,11349;0,163792;0,056801;0,041554;0,073287;0,087095;0,058589;0,024252;0,014193;0,030501;0,061605;0,025449;0,021439;0,010558;0,024257;0,022896;0,058964;0,01535;0,010278;0,060393;0,011695;0,00616;0,009586;0,034202;0,010538;0,004721;0,003262;0,104314;0,008092;0,161803;0,192904;0,156133;0,165405;0,03509;0,151392;0,049491;0,010386;0,041313;0,064266;0,086578;0,236658;0,091985;0,096709;0,063054;0,066649;0,00194;0,067549;0,138297;0,098915;0,156036;0,076601;0,112473;0,064927;0,029118;0,12249;0,246258;0,051544;0,021805;0,081668;0,040313;0,094505;0,031842;0,024478;0,040937;0,104646;0,051177;0,073375;0,007822;0,027632;0,016671;0,034876;0,008902;0,002107;0,00338;0;0,012093;0,003991;0,005267;0,002827;0,003036;0,003661;0,002622;0,000565;0,001624;0,001699;0,002037;0,002655;0,001705;0,005023;0,002333;0;0,009372;0,004608;0;0,001804;0,001358;0,004189;0,000304;0,01673;0,003875;0,002717;0,000475;0,004616;0,03197;0,000224;0,003074;0,011159;0,002891;0,00029;0,003652;0,0007;0,000226;0,014505;0,00401;0,004753;0;0;0,008961;0,001865;0,256424;0,226033;0,085849;0,219396;0,239751;0,247955;0,171323;0,096537;0,16131;0,1512;0,09571;0,082313;0,059112;0,218376;0,240272;0,074861;0,018602;0,016529;0;0,006494;0,018269;0,028702;0,015191;0,077605;0,003427;0,01952;0,070834;0,153179;0,106962;0,002962;0,02841;0,101194;0,001271;0,001333;0,000476;0;0,0005;0;0;0,000287;0,000433;0,001114;0,00035;0,000282;0,00283;0,002102;0,000812;0,000572;
willienelson;0,939245;1;0,858356;0,93185;0,715131;0,806489;0,872233;0,82411;0,831395;0,842829;0,599092;0,8313;0,84169;0,757645;0,90983;0,973102;0,385557;0,370041;0,400212;0,397648;0,788139;0,448984;0,267398;0,290988;0,394862;0,241542;0,651377;0,365978;0,385663;0,884776;0,317499;0,195663;0,002363;0,001399;0,009854;0,008139;0,000481;0,002896;0,005184;0,008217;0,008568;0,001021;0,02009;0,001238;0,002836;0,002365;0,000909;0,002281;0,020546;0,019863;0,101056;0,022654;0,058777;0,016616;0,01724;0,048495;0,057627;0,073847;0,114398;0,017112;0,013718;0,032682;0,039014;0,016955;0,007493;0,008037;0,013627;0,04019;0,014893;0,007003;0,006814;0,006687;0,014729;0,015517;0,009015;0,006975;0,052551;0,008954;0,001875;0,008308;0,003049;0,001664;0,00125;0,000288;0,009764;0,001517;0,01604;0,018458;0,013881;0,0152;0,003242;0,014778;0,00531;0,001554;0,003609;0,006247;0,008115;0,139584;0,009709;0,007721;0,028013;0,006266;0;0,005889;0,012657;0,009399;0,014367;0,007314;0,009616;0,005875;0,002273;0,011527;0,115868;0,005061;0,003485;0,008704;0,00361;0,00806;0,002927;0,002054;0,003297;0,009919;0,004903;0,005974;0,000872;0,002314;0,001338;0,002955;0,004088;0,000797;0,001092;0;0,001866;0,00131;0,004463;0,000733;0,001072;0,001092;0,000926;0,000479;0,000492;0,00036;0,000702;0,000861;0,000103;0,00038;0,000412;0;0,000764;0,000341;0;0,000109;0,000115;0,001286;0,000258;0,002215;0,000261;0,00016;0,000223;0,000381;0,010527;0,000237;0,002713;0,006549;0,000547;0,000077;0,000829;0,000074;0,000239;0,001306;0,000481;0,003154;0;0;0,004038;0,000219;0,029004;0,030056;0,011367;0,030539;0,026165;0,088477;0,025459;0,013742;0,071374;0,041818;0,021875;0,008072;0,019105;0,030079;0,195313;0,018718;0,007129;0,007047;0;0,004979;0,006376;0,006311;0,007286;0,016714;0,000342;0,009411;0,017101;0,123583;0,016212;0,001511;0,009791;0,051036;0;0;0;0;0;0;0;0;0;0;0;0;0,001713;0;0;0;
dollyparton;0,835382;0,858356;1;0,842679;0,893143;0,970068;0,873778;0,821547;0,844492;0,830933;0,608288;0,730048;0,85774;0,748289;0,85483;0,841829;0,237829;0,387675;0,251688;0,380653;0,580046;0,257318;0,434427;0,404258;0,251138;0,150372;0,450745;0,226591;0,240825;0,786828;0,207485;0,158933;0,00072;0,0015;0,132307;0,005586;0,000209;0,00564;0,13982;0,006144;0,007921;0,001184;0,141831;0,001257;0,001818;0,00131;0,000615;0,001235;0,003558;0,004018;0,045208;0,004169;0,023951;0;0,001391;0,02382;0,023011;0,028885;0,053234;0,001121;0,13573;0,010124;0,023342;0,001462;0,00569;0,010622;0,011009;0,031939;0,018146;0,13441;0,009024;0,011379;0,027666;0,008472;0,131961;0,00748;0,211469;0,149506;0,07805;0,132918;0,001474;0,002675;0,00238;0,000146;0,003137;0,002695;0,008988;0,005661;0,013014;0,00634;0,001148;0,010929;0,004546;0,002064;0,003207;0,010031;0,006748;0,095369;0,009565;0,005101;0,029082;0,004882;0,006259;0,009371;0,011902;0,007124;0,009702;0,137331;0,00703;0,020659;0,015108;0,009261;0,254143;0,003836;0,004996;0,007498;0,003287;0,006468;0,002769;0,002877;0,003566;0,011035;0,004186;0,004125;0,007084;0,002142;0,002581;0,002283;0,010645;0,001619;0,003759;0;0,002778;0,006468;0,009063;0,007818;0,00275;0,003549;0,004011;0,002186;0,006988;0,001096;0,00214;0,002215;0,000052;0,001479;0,002509;0;0,001745;0,011929;0;0,12843;0,002979;0,00222;0,001765;0,012503;0,002911;0,000974;0,000113;0,000903;0,00696;0,000321;0,002047;0,003568;0,005109;0,000312;0,017396;0,019651;0;0,022776;0,003824;0,002525;0;0;0,02841;0,000149;0,011991;0,016778;0,007694;0,025177;0,011203;0,086766;0,013262;0,012781;0,068665;0,041317;0,00777;0,005334;0,025796;0,013333;0,195051;0,020568;0,210241;0,197759;0,058526;0,063189;0,097392;0,078691;0,204469;0,058357;0,178736;0,236723;0,070126;0,30946;0,202938;0,185501;0,076462;0,224682;0,001367;0,001434;0,000512;0;0,000538;0;0;0,000309;0,000466;0,001198;0,000377;0,000303;0,004472;0,002261;0,000874;0,000615;
hankwilliams;0,874278;0,93185;0,842679;1;0,722103;0,79479;0,882259;0,90319;0,843391;0,943677;0,608829;0,741886;0,852234;0,8901;0,943102;0,947027;0,262632;0,255188;0,281303;0,271094;0,668817;0,318146;0,190797;0,206931;0,273761;0,149634;0,524086;0,242848;0,262328;0,813475;0,21208;0,134219;0,003202;0,001422;0,014216;0,008884;0,000768;0,008108;0,008733;0,013285;0,015574;0,001111;0,020097;0,001416;0,003792;0,003569;0,001155;0,003013;0,027192;0,027263;0,081124;0,023741;0,051346;0,025329;0,025133;0,049603;0,048714;0,062526;0,089143;0,025003;0,019056;0,035304;0,04566;0,02487;0,007423;0,006689;0,01355;0,042575;0,0168;0,009121;0,006247;0,007425;0,019708;0,032233;0,006913;0,005764;0,04098;0,00698;0,003811;0,006508;0;0,000634;0,000715;0;0;0,000694;0,000966;0,000275;0,00006;0,00032;0;0,000803;0,000899;0,000608;0;0,000583;0,002844;0,102792;0,007635;0,005428;0,019512;0,002221;0;0,00527;0,005648;0,002691;0,003684;0,003339;0,003371;0,004566;0,00147;0,004991;0,083286;0,000362;0,000486;0,001273;0,001581;0,000727;0,001014;0,000864;0,000364;0,003271;0,003057;0,001882;0,000665;0,000761;0,000612;0,000849;0,003016;0,00054;0,000863;0;0,001896;0,000847;0,003402;0,000559;0,00086;0,000721;0,00069;0,000365;0,000375;0,000244;0,00051;0,000875;0,000157;0,000515;0,000139;0;0,000776;0,000577;0;0,000388;0,000058;0,00085;0,000196;0,002847;0,000861;0,000488;0,00017;0,000194;0,006717;0;0,002048;0,003896;0,000222;0,000078;0,000281;0,000226;0,000122;0,000078;0,000081;0,002034;0;0;0,002808;0,000074;0,004602;0,008336;0;0,004091;0,000705;0,082455;0,022948;0,021359;0,080642;0,052836;0,027874;0,018555;0,014434;0,008383;0,221585;0,039218;0,004989;0,005389;0;0,002863;0,003183;0,003379;0,005327;0,008839;0,00007;0,00687;0,009026;0,085689;0,006942;0,001063;0,006365;0,037194;0;0;0;0;0;0;0;0;0;0;0;0;0,001306;0;0;0;
faithhill;0,697586;0,715131;0,893143;0,722103;1;0,951811;0,839593;0,774245;0,833506;0,770717;0,587504;0,554537;0,859004;0,708126;0,736356;0,674825;0,068785;0,206396;0,046707;0,190529;0,356503;0,035169;0,400163;0,300211;0,044807;0,03395;0,222776;0,043981;0,06612;0,62021;0,078099;0,211066;0,001468;0,000915;0,143667;0,001182;0,000876;0,002434;0,153429;0,002198;0,004645;0,000858;0,146311;0,000911;0,001317;0,000843;0,000446;0,000895;0,003905;0,00163;0,016842;0,009928;0,001527;0;0,002054;0,002316;0,001462;0,002197;0,003587;0,001547;0,150449;0,001397;0,025335;0,00298;0,007718;0,015899;0,005676;0,031126;0,01906;0,151487;0,004576;0,018519;0,036639;0,006364;0,169538;0,004986;0,265348;0,16262;0,086415;0,141616;0,013456;0,006935;0,003371;0,001836;0,02715;0,005207;0,047597;0,046712;0,055607;0,049912;0,007763;0,045205;0,024454;0,007094;0,023006;0,028566;0,054194;0,05927;0,057127;0,05373;0,06161;0,041368;0;0,037756;0,088883;0,060235;0,089573;0,194641;0,072656;0,048253;0,035972;0,071655;0,258336;0,017824;0,006165;0,027222;0,019717;0,034805;0,015136;0,009031;0,020454;0,074918;0,030651;0,043177;0,001283;0,012482;0,009511;0,016318;0,03285;0,002866;0,002559;0;0,008476;0,023004;0,006565;0,001079;0,006086;0,010283;0,013074;0,006101;0,013317;0,003647;0,005117;0,004334;0,000658;0,008572;0,003769;0;0,011358;0,048201;0;0,160928;0,00581;0,003216;0,006188;0,053798;0,005048;0,005332;0,000658;0,005853;0,009123;0;0,000152;0,002193;0,024456;0;0,081705;0,082683;0;0,072624;0,016975;0,000892;0;0;0,074886;0,000933;0,073147;0,057716;0,003716;0,10074;0,063498;0,133301;0,037938;0,030293;0,071377;0,075088;0,023842;0,026449;0,03438;0,055747;0,192479;0,0259;0,444432;0,45289;0,270069;0,279515;0,273419;0,300813;0,39291;0,207779;0,432445;0,474752;0,31382;0,478644;0,418803;0,393599;0,324839;0,394995;0;0,001308;0;0;0,002671;0;0;0,002685;0,002323;0;0,001891;0;0,00252;0;0,000844;0,001849;
dixiechicks;0,77472;0,806489;0,970068;0,79479;0,951811;1;0,873967;0,816007;0,86744;0,816586;0,621106;0,626694;0,880395;0,740363;0,813833;0,756016;0,128733;0,279853;0,10159;0,283224;0,469806;0,156667;0,374346;0,322408;0,101525;0,12775;0,354164;0,116006;0,123471;0,710297;0,103025;0,187638;0,000408;0,000725;0,138881;0,001016;0,000071;0,001715;0,148141;0,001549;0,0026;0,000605;0,142338;0,000642;0,000928;0,000594;0,000314;0,000631;0,000826;0,001149;0,030911;0,000807;0,019613;0;0,000752;0,002285;0,019631;0,022217;0,041938;0,000654;0,142018;0,006891;0,023523;0,000829;0,002285;0,008045;0,002658;0,031287;0,009573;0,141542;0,002611;0,00751;0,017866;0,001214;0,141565;0,002501;0,21359;0,154564;0,083582;0,136556;0,001054;0,001438;0,001215;0,000149;0,001986;0,001337;0,004742;0,003367;0,00643;0,003792;0,000547;0,00435;0,003076;0,001364;0,001871;0,003106;0,006019;0,036429;0,007489;0,00647;0,037592;0,004381;0;0,007883;0,014606;0,00645;0,009565;0,146587;0,007726;0,013839;0,012052;0,007586;0,197722;0,001404;0,000496;0,003076;0,002388;0,003841;0,002;0,001322;0,002898;0,014823;0,004217;0,005574;0,000904;0,001623;0,002635;0,001798;0,015587;0,000936;0,001133;0;0,001805;0,011049;0,004627;0,00076;0,002398;0,004643;0,006143;0,003101;0,006052;0,001555;0,001977;0,002321;0,000054;0,003021;0,001494;0;0,003233;0,023949;0;0,143475;0,003817;0,0012;0,003004;0,023642;0,003107;0,001907;0,000116;0,001646;0,001184;0;0,000161;0,002981;0,011453;0;0,039107;0,039208;0;0,033849;0,007062;0,000189;0;0;0,036867;0,000076;0,007676;0,007324;0;0,027377;0,005817;0,083073;0,005508;0,00413;0,058763;0,030194;0,0033;0,002524;0,013014;0,007971;0,194569;0,01615;0,288088;0,286658;0,132798;0,137734;0,148906;0,14353;0,268662;0,090352;0,267433;0,320862;0,141077;0,357371;0,262972;0,262185;0,15555;0,261204;0;0;0;0;0;0;0;0;0;0;0;0;0,001903;0;0,000892;0;
garthbrooks;0,828077;0,872233;0,873778;0,882259;0,839593;0,873967;1;0,935856;0,985454;0,927209;0,695283;0,648695;0,984668;0,844583;0,885404;0,841693;0,073704;0,058751;0,082776;0,068456;0,471781;0,072958;0,06665;0,060616;0,078875;0,000711;0,295518;0,052838;0,064441;0,74308;0,065835;0,017031;0,000274;0,000361;0,0012;0,002274;0,00008;0,00096;0,00033;0,003208;0,00671;0,000338;0,004459;0,000359;0,00052;0,000333;0,000176;0,000353;0,002311;0,002388;0,008858;0,002383;0,000181;0;0,001309;0,013065;0,000952;0,002946;0,002247;0,000275;0,001317;0,001378;0,026333;0,000557;0,002996;0,005468;0,004081;0,036342;0,007432;0,001105;0,001719;0,002515;0,007464;0,002548;0,004172;0,003783;0,027382;0,004342;0;0,003214;0,00118;0,00169;0,000725;0,000167;0,002223;0,00088;0,005723;0,003769;0,005895;0,004831;0,000613;0,004235;0,003686;0,002151;0,002094;0,004143;0,01916;0,041439;0,017103;0,007488;0,007087;0,012683;0;0,005713;0,013476;0,018974;0,010555;0,014748;0,023268;0,005615;0,005157;0,017507;0,044299;0,001572;0,000555;0,002831;0,002745;0,003018;0,002393;0,001069;0,00183;0,009858;0,005302;0,003883;0,000506;0,002054;0,002406;0,001715;0,00551;0,002652;0,001268;0;0,003681;0,002971;0,00259;0,000426;0,004191;0,002345;0,00265;0,001319;0,004992;0,000418;0,003203;0,001799;0,00006;0,001985;0,000319;0;0,00288;0,004347;0;0,002534;0,000267;0,000896;0,00127;0,006276;0,000832;0,002041;0,002334;0,001769;0,003883;0;0,00099;0,000185;0,003745;0;0,011866;0,0142;0,00125;0,007578;0,003813;0,001478;0;0;0,014469;0,000085;0,006675;0,005281;0;0,00897;0,005195;0,08414;0,006359;0,006232;0,067701;0,024554;0,004323;0,003197;0,009403;0,004494;0,218551;0,017037;0,031453;0,032629;0,022299;0,041511;0,020512;0,032607;0,02999;0,025995;0,052625;0,028381;0,050616;0,043432;0,023677;0,024143;0,043532;0,038441;0;0;0;0;0;0;0;0;0;0;0;0;0,001278;0;0;0;
kennyrogers;0,774452;0,82411;0,821547;0,90319;0,774245;0,816007;0,935856;1;0,931425;0,943464;0,654672;0,618535;0,920141;0,965216;0,929633;0,814905;0,060868;0,024013;0,036732;0,052269;0,39802;0,044338;0,019536;0,017915;0,036444;0,007098;0,246899;0,048947;0,050055;0,707192;0,087194;0,090871;0,000516;0,000935;0,01235;0,006753;0,001426;0,022926;0,01265;0,032898;0,057166;0,000637;0,010461;0,000677;0,000979;0,001958;0,000331;0,000665;0,00731;0,004756;0,008775;0,014776;0,00034;0;0,002905;0,005334;0,00391;0,002448;0,002508;0,001723;0,013643;0,002767;0,027659;0,001049;0,016376;0,021199;0,040109;0,042444;0,055823;0,017609;0,021287;0,048444;0,113148;0,061001;0,049315;0,013393;0,006329;0,001474;0;0,001261;0,00476;0,002121;0,001537;0,000315;0,018639;0,001989;0,030447;0,035608;0,028271;0,027499;0,006509;0,029174;0,007054;0,001699;0,00493;0,012886;0,009173;0,01895;0,01061;0,009536;0,002064;0,007006;0,004491;0,007012;0,015094;0,011934;0,015844;0,008128;0,010613;0,015909;0,010106;0,014184;0,027857;0,012073;0,012545;0,018301;0,004081;0,015485;0,003199;0,003329;0,006109;0,011934;0,006393;0,006528;0,004765;0,002529;0,001608;0,00323;0,003459;0,000813;0,002388;0;0,002039;0,002537;0,004877;0,005342;0,000863;0,001194;0,000944;0,000523;0,002955;0,000393;0,000877;0,001066;0,000113;0,000415;0,00255;0;0,000834;0,000372;0;0,000119;0,000126;0,001406;0,000281;0,002421;0,000285;0,000175;0,00232;0,000416;0,004102;0,00069;0,000678;0,000349;0,003646;0,000168;0,00604;0,002674;0,002485;0,009067;0,000963;0,005037;0;0;0,023997;0,00016;0,04908;0,080278;0,037265;0,052492;0,05002;0,162017;0,055339;0,073318;0,127334;0,093166;0,020574;0,032833;0,088482;0,048814;0,236797;0,058913;0,007496;0,003731;0;0,036294;0,033432;0,017724;0,005098;0,020252;0,000299;0,003259;0,038896;0,005894;0,010003;0,001778;0,008182;0,008864;0;0;0;0;0;0;0;0;0;0;0;0;0,002273;0;0;0;
timmcgraw;0,786838;0,831395;0,844492;0,843391;0,833506;0,86744;0,985454;0,931425;1;0,906276;0,691252;0,592511;0,990499;0,836511;0,861227;0,785755;0,024833;0,001127;0,008428;0,02305;0,401786;0,028073;0,008569;0,004614;0,006888;0,000707;0,246549;0,00392;0,00709;0,698963;0,01945;0,011288;0,000273;0,000359;0,000318;0,000348;0,000079;0,000955;0,000328;0,004482;0,009805;0,000336;0,000436;0,000357;0,000517;0,000331;0,000175;0,000351;0,001746;0,001826;0,004404;0,001879;0,00018;0;0,001766;0,001453;0,001376;0,001551;0,000497;0,000273;0,000626;0,000365;0,02618;0,000554;0,002833;0,004477;0,004311;0,037852;0,005327;0,000941;0,000684;0,0025;0,008894;0,003266;0,002935;0,002783;0,005878;0,000708;0;0,000399;0,001173;0,0012;0,000721;0,000166;0,00221;0,000875;0,005621;0,003747;0,004975;0,004366;0,000609;0,00421;0,003003;0,001311;0,002082;0,003236;0,009444;0,007676;0,009535;0,006346;0,003922;0,006557;0;0,00426;0,010477;0,010616;0,009125;0,007724;0,011483;0,005034;0,003875;0,010813;0,00606;0,001563;0,000552;0,002815;0,002298;0,002925;0,001919;0,001063;0,001737;0,008279;0,004371;0,003722;0,000503;0,001649;0,001389;0,001705;0,00388;0,001165;0,00084;0;0,001937;0,002748;0,002575;0,000423;0,001823;0,001449;0,001567;0,000759;0,002198;0,000346;0,001389;0,001126;0,00006;0,001023;0,000238;0;0,001395;0,002751;0;0,001512;0,000199;0,000742;0,000669;0,004285;0,000376;0,00083;0,002192;0,000806;0,000753;0;0;0,000184;0,004039;0;0,009725;0,006845;0,001933;0,005584;0,001757;0,00105;0;0;0,01553;0,000084;0,006142;0,005388;0;0,006998;0,005165;0,083763;0,005492;0,006596;0,066298;0,017971;0,003829;0,003548;0,010791;0,004209;0,217061;0,017234;0,0187;0,020537;0,01478;0,043538;0,013294;0,022943;0,016329;0,017317;0,025448;0,017281;0,045199;0,015785;0,015553;0,015421;0,02625;0,014374;0;0;0;0;0;0;0;0;0;0;0;0;0,001694;0;0,000993;0;
hanksnow;0,781321;0,842829;0,830933;0,943677;0,770717;0,816586;0,927209;0,943464;0,906276;1;0,654224;0,595535;0,912684;0,918877;0,902724;0,838618;0,06107;0,064999;0,084633;0,059665;0,442784;0,067268;0,046675;0,046175;0,06331;0,000937;0,276346;0,042173;0,049716;0,697762;0,048555;0;0,000086;0,00017;0,000978;0,001893;0;0,000516;0,000233;0,000734;0,001217;0,000159;0,003645;0,000169;0,000244;0,000235;0,000083;0,000166;0,001044;0,00121;0,004862;0,00085;0,00034;0;0,000264;0,010574;0,000651;0,002283;0,00235;0,000172;0,000808;0,001037;0,024532;0,000175;0,000963;0,001891;0,00128;0,031404;0,003171;0,000223;0,001051;0,00027;0,001608;0,002718;0,000181;0,00178;0,016748;0,002813;0;0,002646;0;0,000227;0,000256;0;0;0,000248;0,000389;0;0;0;0;0,000266;0,000284;0,000196;0;0,000209;0,000229;0,028499;0,000631;0,000116;0,001375;0,000159;0;0,000288;0,000421;0,000289;0,000288;0,000271;0;0,00066;0,000056;0,000383;0,03298;0;0;0,000288;0,000204;0,000071;0,000218;0,000155;0;0,000403;0,000243;0,006459;0,000238;0,000149;0,000146;0,00014;0,001152;0,000174;0,000265;0;0,000272;0,000325;0,001218;0,0002;0,000185;0,000239;0,000202;0,000131;0,000134;0,000066;0,000164;0,000188;0;0;0;0;0;0,000062;0;0;0;0,000351;0,00007;0,000285;0;0;0,000122;0;0,002673;0;0,000847;0;0,000179;0;0,000302;0,000162;0,000131;0,000084;0;0,000729;0;0;0,001547;0;0;0,000131;0;0,000645;0;0,072412;0,004533;0,005801;0,070344;0,024382;0,001849;0,004128;0,002403;0;0,220999;0,024711;0,001909;0,001507;0;0,002218;0,000611;0,001408;0,002061;0,003601;0,000075;0,002605;0,004632;0,034691;0,021533;0,000381;0,001808;0,014764;0;0;0;0;0;0;0;0;0;0;0;0;0,000468;0;0;0;
