Header
;milesdavis;davebrubeck;leonardcohen;kraftwerk;tajmahal;arethafranklin;wolfgangamadeusmozart;johnnycash;johnmayall;ironmaiden;theanimals;johannesbrahms;hankwilliams;joanbaez;sexpistols;faces;jimmycliff;willienelson;johnleehooker;solomonburke;sepultura;ramones;badreligion;publicenemy;bobmarley;madonna;samcooke;nirvana;beck;thesmashingpumpkins;abba;bobdylan;johannsebastianbach;fatboyslim;billieholiday;blacksabbath;eminem;missyelliott;thechemicalbrothers;seanpaul;therollingstones;justintimberlake;
milesdavis;1;0,761905;0,666667;0,619048;0,47619;0,47619;0,47619;0,428571;0,428571;0,428571;0,428571;0,428571;0,380952;0,380952;0,380952;0,380952;0,333333;0,285714;0,285714;0,285714;0,285714;0,285714;0,285714;0,285714;0,285714;0,285714;0,238095;0,238095;0,238095;0,238095;0,238095;0,190476;0,142857;0,095238;0,047619;0,047619;0,047619;0,047619;0,047619;0,047619;0;0;
davebrubeck;0,761905;1;0,904762;0,857143;0,714286;0,714286;0,714286;0,666667;0,666667;0,666667;0,666667;0,666667;0,619048;0,619048;0,619048;0,619048;0,571429;0,52381;0,52381;0,52381;0,52381;0,52381;0,52381;0,52381;0,52381;0,52381;0,47619;0,47619;0,47619;0,47619;0,47619;0,428571;0,380952;0,333333;0,285714;0,285714;0,285714;0,285714;0,285714;0,285714;0,238095;0,238095;
leonardcohen;0,666667;0,904762;1;0,952381;0,809524;0,809524;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,714286;0,714286;0,714286;0,666667;0,619048;0,619048;0,619048;0,619048;0,619048;0,619048;0,619048;0,619048;0,619048;0,571429;0,571429;0,571429;0,571429;0,571429;0,52381;0,47619;0,428571;0,380952;0,380952;0,380952;0,380952;0,380952;0,380952;0,333333;0,333333;
kraftwerk;0,619048;0,857143;0,952381;1;0,857143;0,857143;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,761905;0,761905;0,761905;0,714286;0,666667;0,666667;0,666667;0,666667;0,666667;0,666667;0,666667;0,666667;0,666667;0,619048;0,619048;0,619048;0,619048;0,619048;0,571429;0,52381;0,47619;0,428571;0,428571;0,428571;0,428571;0,428571;0,428571;0,380952;0,380952;
tajmahal;0,47619;0,714286;0,809524;0,857143;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,904762;0,904762;0,904762;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,666667;0,619048;0,571429;0,571429;0,571429;0,571429;0,571429;0,571429;0,52381;0,52381;
arethafranklin;0,47619;0,714286;0,809524;0,857143;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,904762;0,904762;0,904762;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,666667;0,619048;0,571429;0,571429;0,571429;0,571429;0,571429;0,571429;0,52381;0,52381;
wolfgangamadeusmozart;0,47619;0,714286;0,809524;0,857143;1;1;1;0,952381;0,952381;0,952381;0,952381;0,952381;0,904762;0,904762;0,904762;0,904762;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,761905;0,761905;0,761905;0,761905;0,714286;0,666667;0,619048;0,571429;0,571429;0,571429;0,571429;0,571429;0,571429;0,52381;0,52381;
johnnycash;0,428571;0,666667;0,761905;0,809524;0,952381;0,952381;0,952381;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,714286;0,666667;0,619048;0,619048;0,619048;0,619048;0,619048;0,619048;0,571429;0,571429;
johnmayall;0,428571;0,666667;0,761905;0,809524;0,952381;0,952381;0,952381;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,714286;0,666667;0,619048;0,619048;0,619048;0,619048;0,619048;0,619048;0,571429;0,571429;
ironmaiden;0,428571;0,666667;0,761905;0,809524;0,952381;0,952381;0,952381;1;1;1;1;1;0,952381;0,952381;0,952381;0,952381;0,904762;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,857143;0,809524;0,809524;0,809524;0,809524;0,809524;0,761905;0,714286;0,666667;0,619048;0,619048;0,619048;0,619048;0,619048;0,619048;0,571429;0,571429;
