Header
;Johnny Cash;Willie Nelson;Dolly Parton;Hank Williams;Faith Hill;Dixie Chicks;Garth Brooks;Kenny Rogers;Tim McGraw;Hank Snow;Brooks and Dunn;Lee Hazlewood;Kenny Chesney;Jim Reeves;Roger Miller;Kris Kristofferson;Bob Dylan;Joni Mitchell;Leonard Cohen;Joan Baez;Townes van Zandt;Pete Seeger;Suzanne Vega;Tracy Chapman;Tim Buckley;Steeleye Span;Woody Guthrie;Donovan;Cat Stevens;John Denver;Don McLean;Crosby Stills & Nash;Miles Davis;Dave Brubeck;Billie Holiday;Duke Ellington;Django Reinhardt;Glenn Miller;Ella Fitzgerald;Louis Armstrong;Nat King Cole;Herbie Hancock;Nina Simone;John Coltrane;Charlie Parker;Count Basie;Thelonious Monk;Cannonball Adderley;John Lee Hooker;Muddy Waters;Taj Mahal;John Mayall;Big Bill Broonzy;BB King;Howlin' Wolf;Willie Dixon;Blind Lemon Jefferson;Blind Willie McTell;Mississippi John Hurt;T-Bone Walker;Etta James;Lightnin' Hopkins;Otis Rush;Albert King;James Brown;Marvin Gaye;Otis Redding;Solomon Burke;Sam Cooke;Aretha Franklin;Al Green;The Temptations;The Drifters;Fats Domino;The Supremes;Isaac Hayes;Alicia Keys;Erykah Badu;India Arie;Jill Scott;Iron Maiden;Megadeth;Slayer;Sepultura;Black Sabbath;Anthrax;Alice Cooper;Deep Purple;Def Leppard;AC/DC;Judas Priest;Kiss;Metallica;Pantera;Queensryche;Skid Row;Nirvana;Beck;Smashing Pumpkins;Radiohead;Belle and Sebastian;Alice in Chains;Echo and the Bunnymen;Sonic Youth;Weezer;Pearl Jam;Foo Fighters;Hole;Bush;The Smiths;Depeche Mode;Jane's Addiction;Patti Smith;Sex Pistols;Sid Vicious;Ramones;Bad Religion;The Clash;NoFX;Dead Kennedys;Buzzcocks;Green Day;Blink 182;Sum 41;The Misfits;Rancid;Screeching Weasel;Pennywise;Eminem;Dr. Dre;Public Enemy;Missy Elliot;Cypress Hill;50 Cent;Run DMC;Grandmaster Flash;2Pac;Snoop Dogg;Jay-Z;Busta Rhymes;LL Cool J;DMX;Ice Cube;Mystikal;Aphex Twin;Daft Punk;Kraftwerk;Chemical Brothers;Fatboy Slim;Basement Jaxx;Carl Cox;Moloko;Paul Oakenfold;Prodigy;Armand van Helden;Moby;Massive Attack;Mouse on Mars;Jimi Tenor;Underworld;Bob Marley;Jimmy Cliff;Peter Tosh;Ziggy Marley;Sean Paul;Alpha Blondy;Shaggy;Maxi Priest;Shabba Ranks;UB40;Inner Circle;Desmond Dekker;Capleton;Bounty Killer;Eddy Grant;Black Uhuru;The Rolling Stones;The Animals;The Faces;The Kinks;The Who;Elvis Presley;Chuck Berry;Little Richard;Jerry Lee Lewis;Buddy Holly;Bo Diddley;Bill Haley;Chubby Checker;The Yardbirds;Carl Perkins;Gene Vincent;Madonna;Britney Spears;N'Sync;Justin Timberlake;ABBA;Michael Jackson;Janet Jackson;Prince;Spice Girls;Christina Aguilera;Robbie Williams;Nelly Furtado;Avril Lavigne;Jennifer Lopez;O-Town;Shakira;Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johann Sebastian Bach;Joseph Haydn;Johannes Brahms;Frederic Chopin;Antonin Dvorak;Gustav Mahler;Franz Schubert;Antonio Vivaldi;Richard Wagner;Herbert von Karajan;Yehudi Menuhin;Georg Friedrich Haendel;Tchaikovsky;Giuseppe Verdi;
Johnny Cash;1,0;,939245;,835382;,874278;,697586;,77472;,828077;,774452;,786838;,781321;,565577;,87655;,809789;,689688;,887113;,931825;,575801;,469457;,532394;,509202;,799547;,50459;,331687;,366767;,515941;,315955;,686316;,498556;,549348;,942023;,514618;,240132;,008477;,002936;,025501;,014158;,00467;,004519;,015085;,020593;,019728;,002133;,035198;,002776;,007468;,006563;,002361;,006245;,068639;,059394;,173015;,102655;,105245;,054902;,057951;,089632;,099516;,11349;,163792;,056801;,041554;,073287;,087095;,058589;,024252;,014193;,030501;,061605;,025449;,021439;,010558;,024257;,022896;,058964;,01535;,010278;,060393;,011695;,00616;,009586;,034202;,010538;,004721;,003262;,104314;,008092;,161803;,192904;,156133;,165405;,03509;,151392;,049491;,010386;,041313;,064266;,086578;,236658;,091985;,096709;,063054;,066649;,00194;,067549;,138297;,098915;,156036;,076601;,112473;,064927;,029118;,12249;,246258;,051544;,021805;,081668;,040313;,094505;,031842;,024478;,040937;,104646;,051177;,073375;,007822;,027632;,016671;,034876;,008902;,002107;,00338;,0;,012093;,003991;,005267;,002827;,003036;,003661;,002622;,000565;,001624;,001699;,002037;,002655;,001705;,005023;,002333;,0;,009372;,004608;,0;,001804;,001358;,004189;,000304;,01673;,003875;,002717;,000475;,004616;,03197;,000224;,003074;,011159;,002891;,00029;,003652;,0007;,000226;,014505;,00401;,004753;,0;,0;,008961;,001865;,256424;,226033;,085849;,219396;,239751;,247955;,171323;,096537;,16131;,1512;,09571;,082313;,059112;,218376;,240272;,074861;,018602;,016529;,0;,006494;,018269;,028702;,015191;,077605;,003427;,01952;,070834;,153179;,106962;,002962;,02841;,101194;,001271;,001333;,000476;,0;,0005;,0;,0;,000287;,000433;,001114;,00035;,000282;,00283;,002102;,000812;,000572;
Willie Nelson;,939245;1,0;,858356;,93185;,715131;,806489;,872233;,82411;,831395;,842829;,599092;,8313;,84169;,757645;,90983;,973102;,385557;,370041;,400212;,397648;,788139;,448984;,267398;,290988;,394862;,241542;,651377;,365978;,385663;,884776;,317499;,195663;,002363;,001399;,009854;,008139;,000481;,002896;,005184;,008217;,008568;,001021;,02009;,001238;,002836;,002365;,000909;,002281;,020546;,019863;,101056;,022654;,058777;,016616;,01724;,048495;,057627;,073847;,114398;,017112;,013718;,032682;,039014;,016955;,007493;,008037;,013627;,04019;,014893;,007003;,006814;,006687;,014729;,015517;,009015;,006975;,052551;,008954;,001875;,008308;,003049;,001664;,00125;,000288;,009764;,001517;,01604;,018458;,013881;,0152;,003242;,014778;,00531;,001554;,003609;,006247;,008115;,139584;,009709;,007721;,028013;,006266;,0;,005889;,012657;,009399;,014367;,007314;,009616;,005875;,002273;,011527;,115868;,005061;,003485;,008704;,00361;,00806;,002927;,002054;,003297;,009919;,004903;,005974;,000872;,002314;,001338;,002955;,004088;,000797;,001092;,0;,001866;,00131;,004463;,000733;,001072;,001092;,000926;,000479;,000492;,00036;,000702;,000861;,000103;,00038;,000412;,0;,000764;,000341;,0;,000109;,000115;,001286;,000258;,002215;,000261;,00016;,000223;,000381;,010527;,000237;,002713;,006549;,000547;,000077;,000829;,000074;,000239;,001306;,000481;,003154;,0;,0;,004038;,000219;,029004;,030056;,011367;,030539;,026165;,088477;,025459;,013742;,071374;,041818;,021875;,008072;,019105;,030079;,195313;,018718;,007129;,007047;,0;,004979;,006376;,006311;,007286;,016714;,000342;,009411;,017101;,123583;,016212;,001511;,009791;,051036;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,001713;,0;,0;,0;
Dolly Parton;,835382;,858356;1,0;,842679;,893143;,970068;,873778;,821547;,844492;,830933;,608288;,730048;,85774;,748289;,85483;,841829;,237829;,387675;,251688;,380653;,580046;,257318;,434427;,404258;,251138;,150372;,450745;,226591;,240825;,786828;,207485;,158933;,00072;,0015;,132307;,005586;,000209;,00564;,13982;,006144;,007921;,001184;,141831;,001257;,001818;,00131;,000615;,001235;,003558;,004018;,045208;,004169;,023951;,0;,001391;,02382;,023011;,028885;,053234;,001121;,13573;,010124;,023342;,001462;,00569;,010622;,011009;,031939;,018146;,13441;,009024;,011379;,027666;,008472;,131961;,00748;,211469;,149506;,07805;,132918;,001474;,002675;,00238;,000146;,003137;,002695;,008988;,005661;,013014;,00634;,001148;,010929;,004546;,002064;,003207;,010031;,006748;,095369;,009565;,005101;,029082;,004882;,006259;,009371;,011902;,007124;,009702;,137331;,00703;,020659;,015108;,009261;,254143;,003836;,004996;,007498;,003287;,006468;,002769;,002877;,003566;,011035;,004186;,004125;,007084;,002142;,002581;,002283;,010645;,001619;,003759;,0;,002778;,006468;,009063;,007818;,00275;,003549;,004011;,002186;,006988;,001096;,00214;,002215;,000052;,001479;,002509;,0;,001745;,011929;,0;,12843;,002979;,00222;,001765;,012503;,002911;,000974;,000113;,000903;,00696;,000321;,002047;,003568;,005109;,000312;,017396;,019651;,0;,022776;,003824;,002525;,0;,0;,02841;,000149;,011991;,016778;,007694;,025177;,011203;,086766;,013262;,012781;,068665;,041317;,00777;,005334;,025796;,013333;,195051;,020568;,210241;,197759;,058526;,063189;,097392;,078691;,204469;,058357;,178736;,236723;,070126;,30946;,202938;,185501;,076462;,224682;,001367;,001434;,000512;,0;,000538;,0;,0;,000309;,000466;,001198;,000377;,000303;,004472;,002261;,000874;,000615;
Hank Williams;,874278;,93185;,842679;1,0;,722103;,79479;,882259;,90319;,843391;,943677;,608829;,741886;,852234;,8901;,943102;,947027;,262632;,255188;,281303;,271094;,668817;,318146;,190797;,206931;,273761;,149634;,524086;,242848;,262328;,813475;,21208;,134219;,003202;,001422;,014216;,008884;,000768;,008108;,008733;,013285;,015574;,001111;,020097;,001416;,003792;,003569;,001155;,003013;,027192;,027263;,081124;,023741;,051346;,025329;,025133;,049603;,048714;,062526;,089143;,025003;,019056;,035304;,04566;,02487;,007423;,006689;,01355;,042575;,0168;,009121;,006247;,007425;,019708;,032233;,006913;,005764;,04098;,00698;,003811;,006508;,0;,000634;,000715;,0;,0;,000694;,000966;,000275;,00006;,00032;,0;,000803;,000899;,000608;,0;,000583;,002844;,102792;,007635;,005428;,019512;,002221;,0;,00527;,005648;,002691;,003684;,003339;,003371;,004566;,00147;,004991;,083286;,000362;,000486;,001273;,001581;,000727;,001014;,000864;,000364;,003271;,003057;,001882;,000665;,000761;,000612;,000849;,003016;,00054;,000863;,0;,001896;,000847;,003402;,000559;,00086;,000721;,00069;,000365;,000375;,000244;,00051;,000875;,000157;,000515;,000139;,0;,000776;,000577;,0;,000388;,000058;,00085;,000196;,002847;,000861;,000488;,00017;,000194;,006717;,0;,002048;,003896;,000222;,000078;,000281;,000226;,000122;,000078;,000081;,002034;,0;,0;,002808;,000074;,004602;,008336;,0;,004091;,000705;,082455;,022948;,021359;,080642;,052836;,027874;,018555;,014434;,008383;,221585;,039218;,004989;,005389;,0;,002863;,003183;,003379;,005327;,008839;,00007;,00687;,009026;,085689;,006942;,001063;,006365;,037194;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,001306;,0;,0;,0;
Faith Hill;,697586;,715131;,893143;,722103;1,0;,951811;,839593;,774245;,833506;,770717;,587504;,554537;,859004;,708126;,736356;,674825;,068785;,206396;,046707;,190529;,356503;,035169;,400163;,300211;,044807;,03395;,222776;,043981;,06612;,62021;,078099;,211066;,001468;,000915;,143667;,001182;,000876;,002434;,153429;,002198;,004645;,000858;,146311;,000911;,001317;,000843;,000446;,000895;,003905;,00163;,016842;,009928;,001527;,0;,002054;,002316;,001462;,002197;,003587;,001547;,150449;,001397;,025335;,00298;,007718;,015899;,005676;,031126;,01906;,151487;,004576;,018519;,036639;,006364;,169538;,004986;,265348;,16262;,086415;,141616;,013456;,006935;,003371;,001836;,02715;,005207;,047597;,046712;,055607;,049912;,007763;,045205;,024454;,007094;,023006;,028566;,054194;,05927;,057127;,05373;,06161;,041368;,0;,037756;,088883;,060235;,089573;,194641;,072656;,048253;,035972;,071655;,258336;,017824;,006165;,027222;,019717;,034805;,015136;,009031;,020454;,074918;,030651;,043177;,001283;,012482;,009511;,016318;,03285;,002866;,002559;,0;,008476;,023004;,006565;,001079;,006086;,010283;,013074;,006101;,013317;,003647;,005117;,004334;,000658;,008572;,003769;,0;,011358;,048201;,0;,160928;,00581;,003216;,006188;,053798;,005048;,005332;,000658;,005853;,009123;,0;,000152;,002193;,024456;,0;,081705;,082683;,0;,072624;,016975;,000892;,0;,0;,074886;,000933;,073147;,057716;,003716;,10074;,063498;,133301;,037938;,030293;,071377;,075088;,023842;,026449;,03438;,055747;,192479;,0259;,444432;,45289;,270069;,279515;,273419;,300813;,39291;,207779;,432445;,474752;,31382;,478644;,418803;,393599;,324839;,394995;,0;,001308;,0;,0;,002671;,0;,0;,002685;,002323;,0;,001891;,0;,00252;,0;,000844;,001849;
Dixie Chicks;,77472;,806489;,970068;,79479;,951811;1,0;,873967;,816007;,86744;,816586;,621106;,626694;,880395;,740363;,813833;,756016;,128733;,279853;,10159;,283224;,469806;,156667;,374346;,322408;,101525;,12775;,354164;,116006;,123471;,710297;,103025;,187638;,000408;,000725;,138881;,001016;,000071;,001715;,148141;,001549;,0026;,000605;,142338;,000642;,000928;,000594;,000314;,000631;,000826;,001149;,030911;,000807;,019613;,0;,000752;,002285;,019631;,022217;,041938;,000654;,142018;,006891;,023523;,000829;,002285;,008045;,002658;,031287;,009573;,141542;,002611;,00751;,017866;,001214;,141565;,002501;,21359;,154564;,083582;,136556;,001054;,001438;,001215;,000149;,001986;,001337;,004742;,003367;,00643;,003792;,000547;,00435;,003076;,001364;,001871;,003106;,006019;,036429;,007489;,00647;,037592;,004381;,0;,007883;,014606;,00645;,009565;,146587;,007726;,013839;,012052;,007586;,197722;,001404;,000496;,003076;,002388;,003841;,002;,001322;,002898;,014823;,004217;,005574;,000904;,001623;,002635;,001798;,015587;,000936;,001133;,0;,001805;,011049;,004627;,00076;,002398;,004643;,006143;,003101;,006052;,001555;,001977;,002321;,000054;,003021;,001494;,0;,003233;,023949;,0;,143475;,003817;,0012;,003004;,023642;,003107;,001907;,000116;,001646;,001184;,0;,000161;,002981;,011453;,0;,039107;,039208;,0;,033849;,007062;,000189;,0;,0;,036867;,000076;,007676;,007324;,0;,027377;,005817;,083073;,005508;,00413;,058763;,030194;,0033;,002524;,013014;,007971;,194569;,01615;,288088;,286658;,132798;,137734;,148906;,14353;,268662;,090352;,267433;,320862;,141077;,357371;,262972;,262185;,15555;,261204;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,001903;,0;,000892;,0;
Garth Brooks;,828077;,872233;,873778;,882259;,839593;,873967;1,0;,935856;,985454;,927209;,695283;,648695;,984668;,844583;,885404;,841693;,073704;,058751;,082776;,068456;,471781;,072958;,06665;,060616;,078875;,000711;,295518;,052838;,064441;,74308;,065835;,017031;,000274;,000361;,0012;,002274;,00008;,00096;,00033;,003208;,00671;,000338;,004459;,000359;,00052;,000333;,000176;,000353;,002311;,002388;,008858;,002383;,000181;,0;,001309;,013065;,000952;,002946;,002247;,000275;,001317;,001378;,026333;,000557;,002996;,005468;,004081;,036342;,007432;,001105;,001719;,002515;,007464;,002548;,004172;,003783;,027382;,004342;,0;,003214;,00118;,00169;,000725;,000167;,002223;,00088;,005723;,003769;,005895;,004831;,000613;,004235;,003686;,002151;,002094;,004143;,01916;,041439;,017103;,007488;,007087;,012683;,0;,005713;,013476;,018974;,010555;,014748;,023268;,005615;,005157;,017507;,044299;,001572;,000555;,002831;,002745;,003018;,002393;,001069;,00183;,009858;,005302;,003883;,000506;,002054;,002406;,001715;,00551;,002652;,001268;,0;,003681;,002971;,00259;,000426;,004191;,002345;,00265;,001319;,004992;,000418;,003203;,001799;,00006;,001985;,000319;,0;,00288;,004347;,0;,002534;,000267;,000896;,00127;,006276;,000832;,002041;,002334;,001769;,003883;,0;,00099;,000185;,003745;,0;,011866;,0142;,00125;,007578;,003813;,001478;,0;,0;,014469;,000085;,006675;,005281;,0;,00897;,005195;,08414;,006359;,006232;,067701;,024554;,004323;,003197;,009403;,004494;,218551;,017037;,031453;,032629;,022299;,041511;,020512;,032607;,02999;,025995;,052625;,028381;,050616;,043432;,023677;,024143;,043532;,038441;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,001278;,0;,0;,0;
Kenny Rogers;,774452;,82411;,821547;,90319;,774245;,816007;,935856;1,0;,931425;,943464;,654672;,618535;,920141;,965216;,929633;,814905;,060868;,024013;,036732;,052269;,39802;,044338;,019536;,017915;,036444;,007098;,246899;,048947;,050055;,707192;,087194;,090871;,000516;,000935;,01235;,006753;,001426;,022926;,01265;,032898;,057166;,000637;,010461;,000677;,000979;,001958;,000331;,000665;,00731;,004756;,008775;,014776;,00034;,0;,002905;,005334;,00391;,002448;,002508;,001723;,013643;,002767;,027659;,001049;,016376;,021199;,040109;,042444;,055823;,017609;,021287;,048444;,113148;,061001;,049315;,013393;,006329;,001474;,0;,001261;,00476;,002121;,001537;,000315;,018639;,001989;,030447;,035608;,028271;,027499;,006509;,029174;,007054;,001699;,00493;,012886;,009173;,01895;,01061;,009536;,002064;,007006;,004491;,007012;,015094;,011934;,015844;,008128;,010613;,015909;,010106;,014184;,027857;,012073;,012545;,018301;,004081;,015485;,003199;,003329;,006109;,011934;,006393;,006528;,004765;,002529;,001608;,00323;,003459;,000813;,002388;,0;,002039;,002537;,004877;,005342;,000863;,001194;,000944;,000523;,002955;,000393;,000877;,001066;,000113;,000415;,00255;,0;,000834;,000372;,0;,000119;,000126;,001406;,000281;,002421;,000285;,000175;,00232;,000416;,004102;,00069;,000678;,000349;,003646;,000168;,00604;,002674;,002485;,009067;,000963;,005037;,0;,0;,023997;,00016;,04908;,080278;,037265;,052492;,05002;,162017;,055339;,073318;,127334;,093166;,020574;,032833;,088482;,048814;,236797;,058913;,007496;,003731;,0;,036294;,033432;,017724;,005098;,020252;,000299;,003259;,038896;,005894;,010003;,001778;,008182;,008864;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,002273;,0;,0;,0;
Tim McGraw;,786838;,831395;,844492;,843391;,833506;,86744;,985454;,931425;1,0;,906276;,691252;,592511;,990499;,836511;,861227;,785755;,024833;,001127;,008428;,02305;,401786;,028073;,008569;,004614;,006888;,000707;,246549;,00392;,00709;,698963;,01945;,011288;,000273;,000359;,000318;,000348;,000079;,000955;,000328;,004482;,009805;,000336;,000436;,000357;,000517;,000331;,000175;,000351;,001746;,001826;,004404;,001879;,00018;,0;,001766;,001453;,001376;,001551;,000497;,000273;,000626;,000365;,02618;,000554;,002833;,004477;,004311;,037852;,005327;,000941;,000684;,0025;,008894;,003266;,002935;,002783;,005878;,000708;,0;,000399;,001173;,0012;,000721;,000166;,00221;,000875;,005621;,003747;,004975;,004366;,000609;,00421;,003003;,001311;,002082;,003236;,009444;,007676;,009535;,006346;,003922;,006557;,0;,00426;,010477;,010616;,009125;,007724;,011483;,005034;,003875;,010813;,00606;,001563;,000552;,002815;,002298;,002925;,001919;,001063;,001737;,008279;,004371;,003722;,000503;,001649;,001389;,001705;,00388;,001165;,00084;,0;,001937;,002748;,002575;,000423;,001823;,001449;,001567;,000759;,002198;,000346;,001389;,001126;,00006;,001023;,000238;,0;,001395;,002751;,0;,001512;,000199;,000742;,000669;,004285;,000376;,00083;,002192;,000806;,000753;,0;,0;,000184;,004039;,0;,009725;,006845;,001933;,005584;,001757;,00105;,0;,0;,01553;,000084;,006142;,005388;,0;,006998;,005165;,083763;,005492;,006596;,066298;,017971;,003829;,003548;,010791;,004209;,217061;,017234;,0187;,020537;,01478;,043538;,013294;,022943;,016329;,017317;,025448;,017281;,045199;,015785;,015553;,015421;,02625;,014374;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,001694;,0;,000993;,0;
Hank Snow;,781321;,842829;,830933;,943677;,770717;,816586;,927209;,943464;,906276;1,0;,654224;,595535;,912684;,918877;,902724;,838618;,06107;,064999;,084633;,059665;,442784;,067268;,046675;,046175;,06331;,000937;,276346;,042173;,049716;,697762;,048555;,0;,000086;,00017;,000978;,001893;,0;,000516;,000233;,000734;,001217;,000159;,003645;,000169;,000244;,000235;,000083;,000166;,001044;,00121;,004862;,00085;,00034;,0;,000264;,010574;,000651;,002283;,00235;,000172;,000808;,001037;,024532;,000175;,000963;,001891;,00128;,031404;,003171;,000223;,001051;,00027;,001608;,002718;,000181;,00178;,016748;,002813;,0;,002646;,0;,000227;,000256;,0;,0;,000248;,000389;,0;,0;,0;,0;,000266;,000284;,000196;,0;,000209;,000229;,028499;,000631;,000116;,001375;,000159;,0;,000288;,000421;,000289;,000288;,000271;,0;,00066;,000056;,000383;,03298;,0;,0;,000288;,000204;,000071;,000218;,000155;,0;,000403;,000243;,006459;,000238;,000149;,000146;,00014;,001152;,000174;,000265;,0;,000272;,000325;,001218;,0002;,000185;,000239;,000202;,000131;,000134;,000066;,000164;,000188;,0;,0;,0;,0;,0;,000062;,0;,0;,0;,000351;,00007;,000285;,0;,0;,000122;,0;,002673;,0;,000847;,0;,000179;,0;,000302;,000162;,000131;,000084;,0;,000729;,0;,0;,001547;,0;,0;,000131;,0;,000645;,0;,072412;,004533;,005801;,070344;,024382;,001849;,004128;,002403;,0;,220999;,024711;,001909;,001507;,0;,002218;,000611;,001408;,002061;,003601;,000075;,002605;,004632;,034691;,021533;,000381;,001808;,014764;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,0;,000468;,0;,0;,0;
