;Johnny Cash;Willie Nelson;Dolly Parton;Hank Williams;Faith Hill;Dixie Chicks;Garth Brooks;Kenny Rogers;Tim McGraw;Hank Snow;Brooks and Dunn;Lee Hazlewood;Kenny Chesney;Jim Reeves;Roger Miller;Kris Kristofferson;Bob Dylan;Joni Mitchell;Leonard Cohen;Joan Baez;Townes van Zandt;Pete Seeger;Suzanne Vega;Tracy Chapman;Tim Buckley;Steeleye Span;Woody Guthrie;Donovan;Cat Stevens;John Denver;Don McLean;Crosby Stills & Nash;Miles Davis;Dave Brubeck;Billie Holiday;Duke Ellington;Django Reinhardt;Glenn Miller;Ella Fitzgerald;Louis Armstrong;Nat King Cole;Herbie Hancock;Nina Simone;John Coltrane;Charlie Parker;Count Basie;Thelonious Monk;Cannonball Adderley;John Lee Hooker;Muddy Waters;Taj Mahal;John Mayall;Big Bill Broonzy;BB King;Howlin' Wolf;Willie Dixon;Blind Lemon Jefferson;Blind Willie McTell;Mississippi John Hurt;T-Bone Walker;Etta James;Lightnin' Hopkins;Otis Rush;Albert King;James Brown;Marvin Gaye;Otis Redding;Solomon Burke;Sam Cooke;Aretha Franklin;Al Green;The Temptations;The Drifters;Fats Domino;The Supremes;Isaac Hayes;Alicia Keys;Erykah Badu;India Arie;Jill Scott;Iron Maiden;Megadeth;Slayer;Sepultura;Black Sabbath;Anthrax;Alice Cooper;Deep Purple;Def Leppard;AC/DC;Judas Priest;Kiss;Metallica;Pantera;Queensryche;Skid Row;Nirvana;Beck;Smashing Pumpkins;Radiohead;Belle and Sebastian;Alice in Chains;Echo and the Bunnymen;Sonic Youth;Weezer;Pearl Jam;Foo Fighters;Hole;Bush;The Smiths;Depeche Mode;Jane's Addiction;Patti Smith;Sex Pistols;Sid Vicious;Ramones;Bad Religion;The Clash;NoFX;Dead Kennedys;Buzzcocks;Green Day;Blink 182;Sum 41;The Misfits;Rancid;Screeching Weasel;Pennywise;Eminem;Dr. Dre;Public Enemy;Missy Elliot;Cypress Hill;50 Cent;Run DMC;Grandmaster Flash;2Pac;Snoop Dogg;Jay-Z;Busta Rhymes;LL Cool J;DMX;Ice Cube;Mystikal;Aphex Twin;Daft Punk;Kraftwerk;Chemical Brothers;Fatboy Slim;Basement Jaxx;Carl Cox;Moloko;Paul Oakenfold;Prodigy;Armand van Helden;Moby;Massive Attack;Mouse on Mars;Jimi Tenor;Underworld;Bob Marley;Jimmy Cliff;Peter Tosh;Ziggy Marley;Sean Paul;Alpha Blondy;Shaggy;Maxi Priest;Shabba Ranks;UB40;Inner Circle;Desmond Dekker;Capleton;Bounty Killer;Eddy Grant;Black Uhuru;The Rolling Stones;The Animals;The Faces;The Kinks;The Who;Elvis Presley;Chuck Berry;Little Richard;Jerry Lee Lewis;Buddy Holly;Bo Diddley;Bill Haley;Chubby Checker;The Yardbirds;Carl Perkins;Gene Vincent;Madonna;Britney Spears;N'Sync;Justin Timberlake;ABBA;Michael Jackson;Janet Jackson;Prince;Spice Girls;Christina Aguilera;Robbie Williams;Nelly Furtado;Avril Lavigne;Jennifer Lopez;O-Town;Shakira;Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johann Sebastian Bach;Joseph Haydn;Johannes Brahms;Frederic Chopin;Antonin Dvorak;Gustav Mahler;Franz Schubert;Antonio Vivaldi;Richard Wagner;Herbert von Karajan;Yehudi Menuhin;Georg Friedrich Haendel;Tchaikovsky;Giuseppe Verdi
Johnny Cash;1;0,86967;0,798507;0,863502;0,801114;0,805625;0,861722;0,823052;0,807361;0,826231;0,815973;0,520137;0,491714;0,76962;0,561739;0,815594;0,483317;0,225861;0,262481;0,358064;0,710767;0,229154;0,248723;0,352916;0,325069;0,157056;0,541339;0,296107;0,291146;0,876222;0,470342;0,081702;0,060034;0,02697;0,210704;0,099265;0,067089;0,152405;0,180398;0,11313;0,232763;0,047419;0,262449;0,054467;0,042778;0,060855;0,038506;0,037145;0,234592;0,185232;0,194848;0,148184;0,214444;0,142216;0,234677;0,173794;0,171683;0,176389;0,295192;0,207514;0,342894;0,287499;0,210336;0,198564;0,199925;0,252843;0,272756;0,336545;0,25788;0,312274;0,311651;0,202562;0,197693;0,203762;0,250599;0,172084;0,317173;0,205617;0,042257;0,272943;0,145864;0,10738;0,08807;0,076226;0,125824;0,082238;0,230152;0,166243;0,208517;0,238629;0,103234;0,282013;0,233055;0,096469;0,14201;0,155898;0,151437;0,196171;0,23582;0,138347;0,267841;0,244157;0,190839;0,268713;0,166476;0,30704;0,177473;0,160873;0,128038;0,149949;0,18283;0,231684;0,149956;0,184672;0,172829;0,239373;0,212383;0,193315;0,07998;0,177097;0,192124;0,252419;0,238745;0,132719;0,146967;0,14254;0,1483;0,100396;0,065276;0,056889;0,097108;0;0,114444;0,037883;0,02358;0,053108;0,021569;0,093286;0,062252;0,085452;0,224493;0,046932;0,050436;0,064671;0,017311;0,217331;0,058968;0,040346;0,028124;0,105111;0,002432;0,102889;0,026116;0,082724;0,022213;0,270554;0,078725;0,128995;0,003835;0,040413;0,161117;0,020455;0,051086;0,050253;0,069655;0,002144;0,028608;0,112766;0,002287;0,047509;0,10498;0,045278;0,008377;0,002502;0,042272;0,021249;0,352828;0,203739;0;0,268901;0,275318;0,509687;0,347117;0,290438;0,566208;0,366167;0,28651;0,256788;0,108023;0,331368;0,517616;0,303558;0,183045;0,160837;0,058543;0,210255;0,104549;0,209968;0,29334;0,350379;0,090505;0,146315;0,132952;0,197028;0,123019;0,272533;0,045124;0,079717;0,00384;0,013565;0,004572;0;0,021862;0;0;0,001893;0,002819;0,002551;0,00285;0,001494;0,017763;0,001154;0,000257;0,001471
Willie Nelson;0,86967;1;0,849204;0,856288;0,808419;0,831014;0,905846;0,881683;0,875514;0,851719;0,853314;0,490485;0,492924;0,81861;0,593194;0,863261;0,334738;0,148194;0,17053;0,274357;0,727186;0,184017;0,169967;0,224605;0,194114;0,066398;0,438548;0,209239;0,202109;0,857446;0,302259;0,122611;0,035732;0,014141;0,148307;0,062472;0,028762;0,107402;0,120001;0,07304;0,165542;0,034989;0,177271;0,029064;0,028227;0,037066;0,023729;0,021966;0,155913;0,102191;0,145664;0,081977;0,122035;0,088325;0,136145;0,108989;0,16575;0,10612;0,216276;0,143703;0,204417;0,270608;0,127787;0,108742;0,123358;0,166318;0,17758;0,264254;0,129236;0,171419;0,17127;0,14035;0,122478;0,085758;0,179773;0,100992;0,214431;0,201371;0,010392;0,186638;0,047621;0,043835;0,039967;0,02045;0,040193;0,049063;0,085496;0,064882;0,071086;0,077013;0,030261;0,116963;0,095064;0,061078;0,039721;0,057787;0,088715;0,116626;0,092911;0,064523;0,181551;0,108126;0,057936;0,147002;0,090194;0,161478;0,089009;0,090826;0,064274;0,086628;0,12827;0,10338;0,061773;0,059882;0,064725;0,096099;0,099815;0,063848;0,030783;0,08668;0,124276;0,148737;0,112559;0,073478;0,092274;0,069422;0,078786;0,037108;0,047063;0,038332;0,056352;0;0,059176;0,02877;0,024433;0,030298;0,013795;0,067235;0,043329;0,054216;0,14087;0,032054;0,041179;0,060733;0,018702;0,120094;0,044966;0,047241;0,018075;0,080998;0,013792;0,085904;0,022212;0,060233;0,028693;0,187773;0,045832;0,0704;0,007825;0,040663;0,093127;0,032157;0,03999;0,04993;0,056863;0,032221;0,032555;0,098418;0,007253;0,056983;0,036539;0,041154;0,004431;0,005163;0,03678;0,019372;0,174505;0,101382;0,008651;0,120006;0,113719;0,339666;0,165724;0,10413;0,434434;0,240217;0,129627;0,089647;0,052536;0,169955;0,399373;0,164417;0,147108;0,143604;0,120883;0,153004;0,075038;0,160307;0,213298;0,242347;0,084524;0,143878;0,092018;0,167989;0,078202;0,207455;0,049171;0,101659;0,000999;0,007084;0,002497;0;0,013553;0;0;0,000089;0,00056;0,000305;0,000121;0;0,010949;0;0,000208;0
Dolly Parton;0,798507;0,849204;1;0,860318;0,760999;0,824212;0,908067;0,891965;0,909383;0,876032;0,88877;0,488775;0,518299;0,835331;0,609904;0,881389;0,223435;0,114012;0,044551;0,182463;0,573985;0,122095;0,106716;0,12593;0,027167;0,025588;0,302508;0,107418;0,128074;0,819968;0,150657;0,145065;0,031206;0,020162;0,066692;0,04156;0,026417;0,076472;0,06625;0,043163;0,13918;0,032772;0,063412;0,019729;0,022193;0,026917;0,026003;0,021381;0,088689;0,042996;0,044201;0,034489;0,048686;0,032399;0,051433;0,041018;0,038036;0,039108;0,144596;0,048876;0,108407;0,147989;0,059214;0,044409;0,077328;0,054319;0,067078;0,253433;0,07819;0,073166;0,043201;0,071354;0,066763;0,063774;0,08043;0,064513;0,084827;0,045886;0,01141;0,038464;0,031589;0,02747;0,027853;0,013756;0,025245;0,023726;0,063272;0,051294;0,05511;0,051893;0,021615;0,073037;0,0545;0,02522;0,026931;0,034867;0,045635;0,049255;0,052608;0,027563;0,106465;0,047844;0,03854;0,069835;0,050767;0,0544;0,03649;0,031189;0,022539;0,063846;0,046127;0,06405;0,033548;0,041547;0,034189;0,04479;0,038153;0,037031;0,020296;0,041499;0,02705;0,077511;0,0911;0,044725;0,041038;0,02879;0,061976;0,023381;0,019233;0,023462;0,037601;0;0,034489;0,020385;0,005578;0,011859;0,008608;0,044121;0,026645;0,03433;0,046106;0,022104;0,025682;0,047265;0,013939;0,029213;0,049687;0;0,012148;0,014863;0,000148;0,024449;0,009452;0,019328;0,01181;0,039233;0,025045;0,056138;0,007012;0,025857;0,027661;0,012821;0,010748;0,009962;0,028282;0,000577;0,036095;0,038231;0,000468;0,051405;0,028938;0,028171;0,003156;0,006076;0,03199;0,008789;0,102856;0,073279;0;0,068337;0,072287;0,25384;0,129884;0,073544;0,420225;0,129486;0,076907;0,057433;0,041844;0,06158;0,40064;0,15244;0,080413;0,124077;0,165275;0,055467;0,039462;0,092695;0,093573;0,10323;0,073553;0,15118;0,031218;0,096395;0,04959;0,071692;0,050963;0,08699;0,001873;0,001786;0,00193;0,002573;0,001635;0,000808;0,003119;0,001536;0,002237;0,001648;0,002546;0,002558;0,007588;0,002119;0,002837;0,001598
Hank Williams;0,863502;0,856288;0,860318;1;0,721449;0,843776;0,883559;0,880772;0,890242;0,915254;0,928602;0,457186;0,528609;0,855097;0,623506;0,877539;0,29001;0,068285;0,035261;0,186855;0,71675;0,141352;0,066928;0,092641;0,079523;0,053523;0,336612;0,094652;0,105607;0,854134;0,170282;0,048667;0,025868;0,016875;0,097111;0,049463;0,036985;0,058305;0,045704;0,067738;0,075767;0,022321;0,073624;0,017584;0,033076;0,048637;0,020588;0,021003;0,291385;0,209445;0,243613;0,192056;0,256232;0,244006;0,255054;0,253261;0,248641;0,251401;0,35675;0,259992;0,186996;0,361931;0,274954;0,254847;0,089143;0,080617;0,057041;0,312909;0,062391;0,069589;0,046395;0,041954;0,064619;0,105859;0,064019;0,048296;0,059685;0,049361;0,006635;0,034845;0,053091;0,037171;0,028592;0,024962;0,056064;0,026323;0,084111;0,076131;0,073776;0,092063;0,040159;0,098604;0,086634;0,046901;0,047009;0,056372;0,046035;0,061796;0,084813;0,03961;0,069782;0,080421;0,067273;0,081699;0,048951;0,074803;0,047506;0,034021;0,032734;0,054518;0,036031;0,086751;0,045303;0,068718;0,057096;0,075704;0,061766;0,064724;0,033138;0,070773;0,024165;0,086978;0,094479;0,039832;0,055602;0,044772;0,065295;0,040801;0,013682;0,019052;0,034173;0;0,038637;0,014242;0,005746;0,017414;0,00569;0,032573;0,021117;0,031194;0,042691;0,016057;0,017293;0,026928;0,00899;0,042648;0,032777;0,00418;0,010828;0,012736;0,001534;0,008639;0,009487;0,027258;0,008262;0,09715;0,026411;0,04827;0,002017;0,016761;0,033885;0,009423;0,016378;0,018598;0,023104;0,002234;0,014999;0,010936;0,001976;0,032686;0,038103;0,018302;0,005122;0,001764;0,01866;0,009295;0,171613;0,145635;0;0,087679;0,101188;0,263936;0,199863;0,118374;0,474686;0,161144;0,170269;0,08591;0,045769;0,162648;0,44945;0,163508;0,033081;0,046078;0,047981;0,028666;0,020066;0,055983;0,064129;0,090964;0,034362;0,049439;0,018499;0,031866;0,033005;0,038703;0,022824;0,029023;0,001204;0,001022;0,000953;0;0,001476;0;0;0,000798;0,001054;0,000731;0,001215;0,000527;0,006028;0,000548;0,000099;0,000698
Faith Hill;0,801114;0,808419;0,760999;0,721449;1;0,702001;0,873143;0,778392;0,776829;0,743729;0,757704;0,412087;0,445523;0,704914;0,52006;0,74907;0,356521;0,278121;0,456426;0,307939;0,477756;0,139815;0,289577;0,433342;0,506807;0,036704;0,39813;0,431457;0,310609;0,865423;0,31387;0,125534;0,056954;0,003244;0,240327;0,014913;0,003181;0,035157;0,246312;0,074605;0,313558;0,018616;0,36714;0,028457;0,00422;0,006229;0,008106;0,006774;0,048955;0,014288;0,024905;0,006577;0,007363;0;0,050316;0,00497;0,004009;0,002552;0,091222;0,007042;0,333749;0,095931;0,019217;0,007829;0,188283;0,319261;0,449842;0,216281;0,273313;0,414188;0,459766;0,291078;0,240811;0,059121;0,401375;0,195435;0,48524;0,329087;0,02016;0,540114;0,035547;0,037833;0,024796;0,01985;0,02645;0,017162;0,061858;0,048381;0,067146;0,057515;0,021186;0,075634;0,088661;0,019357;0,036734;0,03542;0,131975;0,166843;0,057325;0,132943;0,365849;0,14103;0,049882;0,21115;0,165487;0,305449;0,172976;0,205463;0,121158;0,121532;0,286036;0,070885;0,097657;0,070263;0,110002;0,154493;0,163153;0,092633;0,02896;0,086081;0,368684;0,11947;0,093135;0,160875;0,031424;0,125856;0,063789;0,029145;0,093909;0,023866;0,032539;0;0,034111;0,017797;0,003202;0,01182;0,0075;0,033988;0,023278;0,029927;0,291009;0,017045;0,019906;0,035283;0,015871;0,278224;0,044001;0,083961;0,01454;0,186644;0;0,236941;0,013102;0,019238;0,011446;0,353397;0,068457;0,066201;0;0,029581;0,219867;0,011951;0,014298;0,013231;0,030103;0;0,036946;0,262791;0,000771;0,046081;0,092215;0,024323;0,002535;0,005098;0,029625;0,008951;0,253799;0,068878;0;0,193368;0,136258;0,501034;0,114216;0,071181;0,375703;0,34659;0,05718;0,064055;0,040066;0,276409;0,326771;0,143285;0,330333;0,253944;0,138694;0,38855;0,177376;0,240864;0,478891;0,506516;0,171813;0,299995;0,260303;0,412784;0,155864;0,489751;0,043045;0,148962;0,003844;0,02505;0,007159;0;0,041639;0;0;0,000974;0,002655;0,001133;0,001816;0,007549;0,002917;0;0,00325;0,000147
Dixie Chicks;0,805625;0,831014;0,824212;0,843776;0,702001;1;0,868327;0,848413;0,848616;0,872895;0,875355;0,43532;0,500133;0,812115;0,59449;0,845089;0,271158;0,057315;0,029341;0,223407;0,596239;0,168606;0,125644;0,135077;0,027121;0,03396;0,380966;0,065615;0,099688;0,860528;0,229435;0,04314;0,012606;0,009954;0,06238;0,052571;0,004971;0,091648;0,052233;0,03387;0,070798;0,015868;0,065585;0,02947;0,014861;0,02217;0,018254;0,014131;0,058855;0,02183;0,021803;0,007596;0,017219;0;0,032777;0,018805;0,029436;0,008964;0,114533;0,026642;0,078344;0,13417;0,028847;0,010918;0,073379;0,091992;0,062883;0,229621;0,047074;0,050701;0,043271;0,045185;0,224134;0,058165;0,068257;0,045187;0,095213;0,050094;0,015832;0,037157;0,034672;0,052461;0,034886;0,022252;0,027179;0,046944;0,068713;0,045436;0,060766;0,059035;0,021162;0,143772;0,069729;0,027827;0,036567;0,08214;0,049648;0,074344;0,086795;0,034598;0,064612;0,064645;0,052329;0,078452;0,083032;0,081653;0,063987;0,085923;0,02551;0,039868;0,033999;0,081156;0,043908;0,048025;0,036276;0,058891;0,068765;0,069637;0,029186;0,06845;0,01554;0,12208;0,08751;0,036087;0,087465;0,042607;0,058377;0,034146;0,053626;0,027853;0,052235;0;0,042698;0,017127;0,011889;0,018923;0,011011;0,042172;0,032855;0,038167;0,047691;0,023827;0,058996;0,041484;0,008131;0,038816;0,022225;0;0,009595;0,012418;0;0,015522;0,008555;0,033739;0,020405;0,07764;0,025893;0,047534;0,000791;0,015577;0,021842;0,007393;0,033642;0,013416;0,035506;0,00841;0,01628;0,013607;0,000395;0,029618;0,029824;0,013103;0,001913;0,001743;0,01964;0,006564;0,094154;0,048379;0;0,056094;0,063291;0,220635;0,129681;0,079848;0,425656;0,142227;0,074076;0,082841;0,044401;0,036139;0,382837;0,15023;0,055736;0,071746;0,047422;0,034867;0,107293;0,126113;0,080658;0,080111;0,211207;0,086563;0,017474;0,048029;0,039804;0,069346;0,099917;0,036353;0,000821;0,001069;0,0012;0;0,000601;0;0;0,000197;0,00098;0,000386;0,000358;0,001452;0,010319;0;0,000694;0
Garth Brooks;0,861722;0,905846;0,908067;0,883559;0,873143;0,868327;1;0,9292;0,950853;0,908558;0,924028;0,515392;0,531494;0,858519;0,633044;0,911347;0,308555;0,136999;0,173293;0,220493;0,587172;0,131621;0,158254;0,201617;0,17547;0,056887;0,346142;0,21185;0,199654;0,928583;0,227444;0,130956;0,030686;0,004116;0,094241;0,022347;0,002424;0,051675;0,092108;0,041589;0,146294;0,024411;0,136358;0,024437;0,006366;0,009946;0,011046;0,007433;0,058743;0,02075;0,017156;0,010843;0,007449;0;0,038495;0,007854;0,005104;0,002689;0,108832;0,012255;0,158171;0,117043;0,026262;0,011989;0,100766;0,145167;0,187933;0,25755;0,127551;0,157746;0,165657;0,134244;0,118729;0,096962;0,172068;0,091129;0,171741;0,119559;0;0,17182;0,059356;0,050743;0,036761;0,033687;0,04658;0,025498;0,103365;0,070569;0,111022;0,105099;0,036872;0,147994;0,098195;0,028191;0,06645;0,06305;0,082738;0,103809;0,106279;0,081632;0,213893;0,106585;0,095094;0,141735;0,124144;0,162073;0,107298;0,118904;0,075691;0,0975;0,132117;0,106797;0,074426;0,0905;0,087364;0,119871;0,105969;0,088902;0,037911;0,064844;0,135935;0,106862;0,137814;0,091285;0,03807;0,075846;0,079674;0,043385;0,062426;0,021143;0,045943;0;0,051667;0,023865;0,005061;0,021734;0,008805;0,043033;0,029187;0,043818;0,139484;0,02209;0,045027;0,038143;0,016792;0,134511;0,055867;0,025027;0,017858;0,071619;0;0,07749;0,016291;0,032893;0,019579;0,147194;0,039072;0,089582;0;0,033241;0,08581;0,015804;0,021742;0,023574;0,039673;0;0,038759;0,104398;0;0,054853;0,055812;0,029955;0,003768;0,005544;0,038964;0,013737;0,187813;0,090102;0;0,141964;0,136346;0,338979;0,17473;0,120925;0,47666;0,230686;0,09646;0,117203;0,059474;0,132139;0,417083;0,204155;0,139631;0,142319;0,150808;0,16231;0,084445;0,185918;0,211665;0,234101;0,095759;0,142587;0,100618;0,172499;0,087039;0,184014;0,051351;0,092342;0,001073;0,007228;0,001386;0;0,012622;0;0;0;0,000734;0,000354;0;0;0,004429;0;0;0
Kenny Rogers;0,823052;0,881683;0,891965;0,880772;0,778392;0,848413;0,9292;1;0,922074;0,89957;0,91194;0,573468;0,55292;0,858393;0,637929;0,94336;0,26566;0,1635;0,067282;0,203975;0,606175;0,138559;0,118708;0,144403;0,031809;0,063274;0,321663;0,148049;0,179799;0,857078;0,189141;0,227789;0,024197;0,005664;0,048442;0,030046;0,003418;0,068282;0,039198;0,034902;0,089814;0,031176;0,056286;0,007258;0,008892;0,01354;0,015089;0,009052;0,06926;0,028065;0,05258;0,014076;0,015881;0,004938;0,032917;0,015341;0,025905;0,008866;0,116917;0,023687;0,101087;0,135863;0,031873;0,015426;0,156177;0,062972;0,082996;0,273393;0,136509;0,070737;0,044604;0,090522;0,080677;0,103446;0,094887;0,057772;0,066053;0,041215;0;0,031206;0,052173;0,062535;0,040837;0,029423;0,039995;0,029425;0,100074;0,07781;0,103423;0,093712;0,032218;0,117243;0,102035;0,032158;0,058289;0,058707;0,081857;0,070185;0,099157;0,074547;0,176293;0,073382;0,083606;0,107618;0,128092;0,086241;0,08548;0,076411;0,044755;0,098017;0,071322;0,101516;0,053419;0,081161;0,064274;0,08565;0,066918;0,068076;0,036643;0,053407;0,044809;0,13064;0,156768;0,142214;0,049585;0,049745;0,098247;0,041696;0,05401;0,047902;0,054715;0;0,052869;0,031256;0,006734;0,020828;0,011238;0,056204;0,035409;0,052735;0,07662;0,02968;0,035657;0,058669;0,021418;0,056338;0,077937;0;0,019845;0,023291;0;0,026899;0,016964;0,031224;0,018047;0,043884;0,09448;0,096024;0;0,041942;0,061499;0,020247;0,016552;0,021394;0,043209;0;0,0584;0,057214;0;0,073864;0,185707;0,040249;0,004416;0,009226;0,052668;0,015492;0,170658;0,101578;0,001512;0,108077;0,117675;0,248911;0,170886;0,122431;0,49209;0,164368;0,101629;0,110519;0,063715;0,064612;0,408227;0,210597;0,094208;0,146072;0,250962;0,084606;0,058971;0,139021;0,116859;0,131903;0,089179;0,184834;0,078131;0,115582;0,083166;0,080875;0,077178;0,110134;0,006628;0,005217;0,011328;0;0,001399;0;0;0;0;0,00028;0;0;0,005819;0;0;0
Tim McGraw;0,807361;0,875514;0,909383;0,890242;0,776829;0,848616;0,950853;0,922074;1;0,924929;0,944771;0,447253;0,537496;0,871585;0,638062;0,900199;0,197026;0,048615;0,03056;0,153758;0,578733;0,109719;0,054065;0,059187;0,012719;0,017917;0,274181;0,075192;0,088869;0,859832;0,105932;0,08385;0,009276;0,002643;0,020846;0,01191;0,001164;0,030928;0,017166;0,013549;0,050401;0,012134;0,02192;0,027589;0,003394;0,00509;0,006833;0,003403;0,051075;0,008411;0,00691;0,003848;0,003355;0;0,011958;0,004172;0,004165;0,001428;0,109117;0,005377;0,048445;0,114815;0,019086;0,004355;0,051357;0,030015;0,043755;0,227165;0,038118;0,02949;0,026749;0,039837;0,030163;0,039561;0,047554;0,031453;0,025787;0,023441;0;0,016532;0,021543;0,018401;0,01544;0,010587;0,016062;0,013467;0,04159;0,033037;0,043351;0,035354;0,01154;0,052458;0,037381;0,010627;0,020929;0,021468;0,028867;0,041222;0,036351;0,021876;0,071137;0,031089;0,02995;0,045223;0,038112;0,036703;0,026489;0,019522;0,016175;0,038716;0,036771;0,048848;0,020647;0,030017;0,025211;0,032836;0,030424;0,026952;0,016117;0,023866;0,018112;0,045853;0,058613;0,032539;0,019774;0,02352;0,038186;0,016473;0,013197;0,011331;0,020964;0;0,022585;0,012944;0,002688;0,007682;0,005604;0,024279;0,016547;0,020417;0,029545;0,012432;0,015065;0,025801;0,010512;0,027771;0,029538;0;0,008664;0,011878;0;0,01029;0,007877;0,013289;0,006985;0,020851;0,018346;0,044393;0;0,018423;0,013149;0,007972;0,009802;0,007411;0,02437;0;0,024146;0,0253;0;0,037548;0,019965;0,01515;0,001647;0,00355;0,01983;0,005748;0,078013;0,046038;0;0,042472;0,045801;0,193559;0,102258;0,044823;0,422249;0,113982;0,037376;0,040391;0,030141;0,023538;0,389505;0,134829;0,038335;0,063058;0,096562;0,038445;0,023634;0,062387;0,062587;0,076438;0,045404;0,061659;0,020029;0,049294;0,030556;0,035385;0,029884;0,041982;0,000705;0,000878;0,001144;0;0,000205;0;0;0;0,000945;0,000104;0,000018;0;0,002995;0;0,000031;0
Hank Snow;0,826231;0,851719;0,876032;0,915254;0,743729;0,872895;0,908558;0,89957;0,924929;1;0,974407;0,39064;0,543246;0,892148;0,6467;0,893847;0,18245;0,030625;0,036823;0,15818;0,585963;0,1303;0,019358;0,022124;0,006119;0,019885;0,307327;0,034534;0,039105;0,881505;0,10871;0,004884;0,002315;0,003655;0,017682;0,019907;0,000175;0,032212;0,015627;0,011016;0,037514;0,002198;0,014807;0,003477;0,005454;0,008126;0,007598;0,004475;0,049279;0,005425;0,005389;0,000382;0,005565;0;0,007889;0,007038;0,005419;0,002693;0,1169;0,005807;0,02205;0,118231;0,018602;0,000647;0,037336;0,016106;0,018849;0,208538;0,006156;0,007117;0,019662;0,008998;0,007096;0,004638;0,029479;0,020042;0,028191;0,007721;0;0,009502;0,000394;0,005;0,008241;0;0,000525;0,015913;0,006241;0,014095;0,000217;0,000023;0,000129;0,014993;0,012568;0,00323;0;0,006765;0,008557;0,027299;0,012225;0,000596;0,000462;0,007555;0;0,012466;0,004089;0,012093;0,003531;0,007048;0,006255;0,001358;0,000904;0,0087;0,004116;0,00056;0;0,00452;0,010083;0,000877;0,002018;0,009579;0,000668;0,033545;0,010228;0,015672;0,033362;0,004283;0,010596;0,003955;0,002842;0,008749;0,009044;0;0,006407;0,003368;0,004535;0,003468;0,002176;0,010831;0,008711;0,008461;0,007771;0,006376;0,005204;0,012391;0,00024;0,000091;0;0;0,000349;0,000254;0;0,001039;0,000069;0,007476;0,001953;0,015666;0,00105;0;0;0,00063;0,000145;0,000358;0,000391;0,000941;0,007479;0;0,001599;0,000334;0;0,016722;0,000958;0,000076;0;0;0;0;0,039586;0,001914;0;0,001405;0,000495;0,172623;0,068252;0,008197;0,405437;0,095419;0,010888;0,009578;0,015554;0,000443;0,390175;0,097948;0,009604;0,009139;0;0,004058;0,001058;0,010176;0,033983;0,036418;0,016992;0,009342;0,000551;0,019884;0,024283;0,023775;0,002823;0,001932;0,00001;0,000058;0,000019;0;0,000426;0;0;0;0;0;0;0;0,003918;0;0;0
